backend,benchmark_status,comparable_group,comparison_required,family,iterations,keygen_ms_median,measured_public_key_bytes,measured_signature_bytes,name,nist_category,notes,oqs_names,provider_name,public_key_bytes,reason,secret_key_bytes,sign_ms_median,signature_bytes,specification,status,timing_scope,track,verify_ms_median
OpenSSL CLI,confirmed,openssl-cli-v1,True,RSA,3,46.094291,294,256,RSA-2048/SHA-256,classical,Current RPKI baseline; SPKI size is an approximate DER value. Timed operations each include one OpenSSL process launch.,[],RSA,270,,1217,6.868458,256,RFC 7935,confirmed,end-to-end CLI wall-clock,baseline,6.022708
OpenSSL CLI,confirmed,openssl-cli-v1,True,ML-DSA,3,6.01375,1974,3309,ML-DSA-65,3,Primary balanced PQC candidate. Timed operations each include one OpenSSL process launch.,"['ML-DSA-65', 'Dilithium3']",ML-DSA-65,1952,,4098,6.162125,3309,FIPS 204; RFC 9881; RFC 9882,confirmed,end-to-end CLI wall-clock,primary,5.569916
OpenSSL CLI,confirmed,openssl-cli-v1,True,ML-DSA,3,6.762083,2614,4627,ML-DSA-87,5,High-assurance candidate with larger objects. Timed operations each include one OpenSSL process launch.,"['ML-DSA-87', 'Dilithium5']",ML-DSA-87,2592,,4962,8.078625,4627,FIPS 204; RFC 9881; RFC 9882,confirmed,end-to-end CLI wall-clock,high-assurance,6.420667
OpenSSL CLI,confirmed,openssl-cli-v1,True,SLH-DSA,3,52.258666,50,7856,SLH-DSA-SHAKE-128s,1,Hash-based diversity candidate; signature size is the main concern. Timed operations each include one OpenSSL process launch.,"['SLH-DSA-SHAKE-128s', 'SPHINCS+-SHAKE-128s-simple']",SLH-DSA-SHAKE-128s,32,,84,349.318167,7856,FIPS 205; RFC 9909; RFC 9814,confirmed,end-to-end CLI wall-clock,diversity,7.476667
OpenSSL CLI,confirmed,openssl-cli-v1,True,SLH-DSA,3,73.02875,66,16224,SLH-DSA-SHAKE-192s,3,Conservative diversity candidate with very large signatures. Timed operations each include one OpenSSL process launch.,"['SLH-DSA-SHAKE-192s', 'SPHINCS+-SHAKE-192s-simple']",SLH-DSA-SHAKE-192s,48,,116,609.270875,16224,FIPS 205; RFC 9909; RFC 9814,confirmed,end-to-end CLI wall-clock,diversity,7.548375
OpenSSL CLI,confirmed,openssl-cli-v1,True,ECDSA,3,5.997583,91,72,P-256/SHA-256,classical-128,Compact classical counterfactual; not the current RFC 6488 RPKI profile. Signature size uses the conservative DER maximum. Timed operations each include one OpenSSL process launch.,[],ECDSA-P256,65,,138,5.946292,72,FIPS 186-5; RFC 8608 for BGPsec,confirmed,end-to-end CLI wall-clock,classical-reference,6.661375
OpenSSL CLI,confirmed,openssl-cli-v1,True,EdDSA,3,5.999167,44,64,Ed25519,classical-128,Compact classical counterfactual; not the current RFC 6488 RPKI profile. Timed operations each include one OpenSSL process launch.,[],ED25519,32,,48,5.742042,64,RFC 8032,confirmed,end-to-end CLI wall-clock,classical-reference,5.811042
OpenSSL CLI,confirmed,openssl-cli-v1,True,ML-DSA,3,6.035542,1334,2420,ML-DSA-44,2,Measured comparison excluded from the primary profile by the Category 3 policy floor. Timed operations each include one OpenSSL process launch.,"['ML-DSA-44', 'Dilithium2']",ML-DSA-44,1312,,2626,6.101292,2420,FIPS 204; RFC 9881; RFC 9882,confirmed,end-to-end CLI wall-clock,excluded-policy,5.80225
oqs-python/liboqs,confirmed,oqs-python-v1,False,Falcon/FN-DSA,3,6.172583,897,658,Falcon-512,1,Best size/performance candidate in the 2025 RPKI study; no final RPKI-ready X.509/CMS path. In-process timings are not directly comparable with OpenSSL CLI timings.,['Falcon-512'],Falcon-512,897,,1281,2.112334,666,NIST-selected Falcon; FN-DSA final profile pending,experimental,in-process,optional,0.04275
oqs-python/liboqs,confirmed,oqs-python-v1,False,Falcon/FN-DSA,3,22.525667,1793,1271,Falcon-1024,5,Category-5 Falcon comparison. In-process timings are not directly comparable with OpenSSL CLI timings.,['Falcon-1024'],Falcon-1024,1793,,2305,4.647125,1280,NIST-selected Falcon; FN-DSA final profile pending,experimental,in-process,optional,0.070458
