backend,benchmark_status,comparable_group,comparison_required,family,iterations,keygen_ms_median,measured_public_key_bytes,measured_signature_bytes,name,nist_category,notes,oqs_names,provider_name,public_key_bytes,reason,secret_key_bytes,sign_ms_median,signature_bytes,specification,status,timing_scope,track,verify_ms_median
OpenSSL CLI,confirmed,openssl-cli-v1,True,RSA,3,17.483958,294,256,RSA-2048/SHA-256,classical,Current RPKI baseline; SPKI size is an approximate DER value. Timed operations each include one OpenSSL process launch.,[],RSA,270,,1217,7.757875,256,RFC 7935,confirmed,end-to-end CLI wall-clock,baseline,6.901916
OpenSSL CLI,confirmed,openssl-cli-v1,True,ML-DSA,3,6.514084,1974,3309,ML-DSA-65,3,Primary balanced PQC candidate. Timed operations each include one OpenSSL process launch.,"['ML-DSA-65', 'Dilithium3']",ML-DSA-65,1952,,4098,6.887041,3309,FIPS 204; RFC 9881; RFC 9882,confirmed,end-to-end CLI wall-clock,primary,6.933208
OpenSSL CLI,confirmed,openssl-cli-v1,True,ML-DSA,3,6.348625,2614,4627,ML-DSA-87,5,High-assurance candidate with larger objects. Timed operations each include one OpenSSL process launch.,"['ML-DSA-87', 'Dilithium5']",ML-DSA-87,2592,,4962,6.552125,4627,FIPS 204; RFC 9881; RFC 9882,confirmed,end-to-end CLI wall-clock,high-assurance,5.71175
OpenSSL CLI,confirmed,openssl-cli-v1,True,SLH-DSA,3,51.242084,50,7856,SLH-DSA-SHAKE-128s,1,Hash-based diversity candidate; signature size is the main concern. Timed operations each include one OpenSSL process launch.,"['SLH-DSA-SHAKE-128s', 'SPHINCS+-SHAKE-128s-simple']",SLH-DSA-SHAKE-128s,32,,84,354.469209,7856,FIPS 205; RFC 9909; RFC 9814,confirmed,end-to-end CLI wall-clock,diversity,7.586125
OpenSSL CLI,confirmed,openssl-cli-v1,True,SLH-DSA,3,73.726667,66,16224,SLH-DSA-SHAKE-192s,3,Conservative diversity candidate with very large signatures. Timed operations each include one OpenSSL process launch.,"['SLH-DSA-SHAKE-192s', 'SPHINCS+-SHAKE-192s-simple']",SLH-DSA-SHAKE-192s,48,,116,607.893375,16224,FIPS 205; RFC 9909; RFC 9814,confirmed,end-to-end CLI wall-clock,diversity,7.696959
OpenSSL CLI,confirmed,openssl-cli-v1,True,ECDSA,3,6.010125,91,71,P-256/SHA-256,classical-128,Compact classical counterfactual; not the current RFC 6488 RPKI profile. Signature size uses the conservative DER maximum. Timed operations each include one OpenSSL process launch.,[],ECDSA-P256,65,,138,5.970834,72,FIPS 186-5; RFC 8608 for BGPsec,confirmed,end-to-end CLI wall-clock,classical-reference,5.676791
OpenSSL CLI,confirmed,openssl-cli-v1,True,EdDSA,3,6.303667,44,64,Ed25519,classical-128,Compact classical counterfactual; not the current RFC 6488 RPKI profile. Timed operations each include one OpenSSL process launch.,[],ED25519,32,,48,5.693125,64,RFC 8032,confirmed,end-to-end CLI wall-clock,classical-reference,5.842666
OpenSSL CLI,confirmed,openssl-cli-v1,True,ML-DSA,3,5.878083,1334,2420,ML-DSA-44,2,Measured comparison excluded from the primary profile by the Category 3 policy floor. Timed operations each include one OpenSSL process launch.,"['ML-DSA-44', 'Dilithium2']",ML-DSA-44,1312,,2626,6.046667,2420,FIPS 204; RFC 9881; RFC 9882,confirmed,end-to-end CLI wall-clock,excluded-policy,5.746167
oqs-python/liboqs,confirmed,oqs-python-v1,False,Falcon/FN-DSA,3,6.635791,897,658,Falcon-512,1,Best size/performance candidate in the 2025 RPKI study; no final RPKI-ready X.509/CMS path. In-process timings are not directly comparable with OpenSSL CLI timings.,['Falcon-512'],Falcon-512,897,,1281,2.124541,666,NIST-selected Falcon; FN-DSA final profile pending,experimental,in-process,optional,0.04025
oqs-python/liboqs,confirmed,oqs-python-v1,False,Falcon/FN-DSA,3,15.45125,1793,1270,Falcon-1024,5,Category-5 Falcon comparison. In-process timings are not directly comparable with OpenSSL CLI timings.,['Falcon-1024'],Falcon-1024,1793,,2305,4.834083,1280,NIST-selected Falcon; FN-DSA final profile pending,experimental,in-process,optional,0.086167
oqs-python/liboqs,confirmed,oqs-python-v1,False,MAYO,3,0.114584,1420,454,MAYO-1,1,Multivariate candidate with compact signatures; not standardized. In-process timings are not directly comparable with OpenSSL CLI timings.,['MAYO-1'],MAYO-1,1420,,24,0.361583,454,NIST Additional Signatures Round 3 (2026),round-3-candidate,in-process,optional,0.086458
oqs-python/liboqs,confirmed,oqs-python-v1,False,SNOVA,3,0.179458,1016,248,"SNOVA-(24,5,4)",1,Multivariate candidate with very compact signatures; not standardized. In-process timings are not directly comparable with OpenSSL CLI timings.,['SNOVA_24_5_4'],SNOVA_24_5_4,1016,,48,0.508959,248,NIST Additional Signatures Round 3 (2026),round-3-candidate,in-process,optional,0.350333
oqs-python/liboqs,unsupported,oqs-python-v1,False,HAWK,,,,,HAWK-512,1,Promising lattice candidate retained as metadata-only because liboqs 0.15.0 and OpenSSL 3.6.2 do not provide it.,['HAWK-512'],,1024,candidate is not enabled by oqs-python/liboqs,,,555,NIST Additional Signatures Round 3 (2026),round-3-candidate,in-process,optional,
size model only,unsupported,none,False,Composite,,,,,RSA-2048+ML-DSA-44,hybrid,Component-size sum excluding composite ASN.1 overhead; no local X.509/CMS interoperability evidence.,[],,1582,No local composite signature implementation or interoperability profile,,,2676,draft-ietf-lamps-pq-composite-sigs,estimated,not measured,composite-candidate,
size model only,unsupported,none,False,Composite,,,,,P-256+ML-DSA-44,hybrid,Component-size sum excluding composite ASN.1 overhead; no local X.509/CMS interoperability evidence.,[],,1377,No local composite signature implementation or interoperability profile,,,2492,draft-ietf-lamps-pq-composite-sigs,estimated,not measured,composite-candidate,
size model only,unsupported,none,False,Composite,,,,,P-256+Falcon-512,hybrid,Component-size sum excluding composite ASN.1 overhead; Falcon/FN-DSA profile is not final.,[],,962,No local composite signature implementation or interoperability profile,,,738,draft-ietf-lamps-pq-composite-sigs; FN-DSA pending,estimated,not measured,composite-candidate,
